Index,Epoch, Hidden Neurons, Learning Rate, Loss Function, Data Encoding, Batch Size, Weights Init,Hidden Activation Function, Last Activation Function, Accuracy, Time
192,20,50,0.2,quadratic,binary,256,0,ReLu,Sigmoid,0.1135,13.98697590827942
193,10,100,0.1,cross-entropy,one_hot,60000,Xavier,Sigmoid,Sigmoid,0.3483,11.43609619140625
194,10,50,0.1,cross-entropy,one_hot,60000,Xavier,Sigmoid,Sigmoid,0.2777,7.768718957901001
195,20,100,0.1,cross-entropy,one_hot,60000,Xavier,Sigmoid,Sigmoid,0.5527,22.48455786705017
196,20,50,0.1,cross-entropy,one_hot,60000,Xavier,Sigmoid,Sigmoid,0.5542,15.09402871131897
197,10,100,0.1,cross-entropy,one_hot,60000,Xavier,ReLu,Sigmoid,0.657,8.03737998008728
198,10,50,0.1,cross-entropy,one_hot,60000,Xavier,ReLu,Sigmoid,0.5141,7.004085063934326
199,20,100,0.1,cross-entropy,one_hot,60000,Xavier,ReLu,Sigmoid,0.7582,15.566765785217283
200,20,50,0.1,cross-entropy,one_hot,60000,Xavier,ReLu,Sigmoid,0.7287,12.153417825698853
201,10,100,0.1,cross-entropy,one_hot,60000,random,Sigmoid,Sigmoid,0.1424,10.179342985153198
202,10,50,0.1,cross-entropy,one_hot,60000,random,Sigmoid,Sigmoid,0.1539,7.562355995178223
203,20,100,0.1,cross-entropy,one_hot,60000,random,Sigmoid,Sigmoid,0.1835,430.50435090065
204,20,50,0.1,cross-entropy,one_hot,60000,random,Sigmoid,Sigmoid,0.1224,17.18116593360901
205,10,100,0.1,cross-entropy,one_hot,60000,random,ReLu,Sigmoid,0.4447,8.405564785003662
206,10,50,0.1,cross-entropy,one_hot,60000,random,ReLu,Sigmoid,0.3343,6.810800075531006
207,20,100,0.1,cross-entropy,one_hot,60000,random,ReLu,Sigmoid,0.6001,16.27471113204956
208,20,50,0.1,cross-entropy,one_hot,60000,random,ReLu,Sigmoid,0.4864,16.94734525680542
209,10,100,0.1,cross-entropy,one_hot,60000,0,Sigmoid,Sigmoid,0.1135,11.940595149993896
210,10,50,0.1,cross-entropy,one_hot,60000,0,Sigmoid,Sigmoid,0.1135,7.086416959762573
211,20,100,0.1,cross-entropy,one_hot,60000,0,Sigmoid,Sigmoid,0.1135,17.888425827026367
212,20,50,0.1,cross-entropy,one_hot,60000,0,Sigmoid,Sigmoid,0.1135,13.153089046478271
213,10,100,0.1,cross-entropy,one_hot,60000,0,ReLu,Sigmoid,0.1135,8.037068843841553
214,10,50,0.1,cross-entropy,one_hot,60000,0,ReLu,Sigmoid,0.1135,6.379180669784546
215,20,100,0.1,cross-entropy,one_hot,60000,0,ReLu,Sigmoid,0.1135,15.653347253799438
216,20,50,0.1,cross-entropy,one_hot,60000,0,ReLu,Sigmoid,0.1135,11.876946926116943
217,10,100,0.1,cross-entropy,binary,60000,Xavier,Sigmoid,Sigmoid,0.382,10.13638973236084
218,10,50,0.1,cross-entropy,binary,60000,Xavier,Sigmoid,Sigmoid,0.2907,7.968962907791138
219,20,100,0.1,cross-entropy,binary,60000,Xavier,Sigmoid,Sigmoid,0.5404,20.087725162506104
220,20,50,0.1,cross-entropy,binary,60000,Xavier,Sigmoid,Sigmoid,0.4997,14.091193199157717
221,10,100,0.1,cross-entropy,binary,60000,Xavier,ReLu,Sigmoid,0.6688,7.946537971496582
222,10,50,0.1,cross-entropy,binary,60000,Xavier,ReLu,Sigmoid,0.5818,6.428834199905396
223,20,100,0.1,cross-entropy,binary,60000,Xavier,ReLu,Sigmoid,0.7858,15.50946807861328
224,20,50,0.1,cross-entropy,binary,60000,Xavier,ReLu,Sigmoid,0.7017,12.241186141967772
225,10,100,0.1,cross-entropy,binary,60000,random,Sigmoid,Sigmoid,0.102,10.039162874221802
226,10,50,0.1,cross-entropy,binary,60000,random,Sigmoid,Sigmoid,0.1181,7.406369924545288
227,20,100,0.1,cross-entropy,binary,60000,random,Sigmoid,Sigmoid,0.1945,19.683345079422
228,20,50,0.1,cross-entropy,binary,60000,random,Sigmoid,Sigmoid,0.1463,14.811202049255373
229,10,100,0.1,cross-entropy,binary,60000,random,ReLu,Sigmoid,0.4509,8.183503150939941
230,10,50,0.1,cross-entropy,binary,60000,random,ReLu,Sigmoid,0.385,6.765305042266846
231,20,100,0.1,cross-entropy,binary,60000,random,ReLu,Sigmoid,0.5909,15.914061784744264
232,20,50,0.1,cross-entropy,binary,60000,random,ReLu,Sigmoid,0.4974,12.911887884140016
233,10,100,0.1,cross-entropy,binary,60000,0,Sigmoid,Sigmoid,0.1135,10.435718059539797
234,10,50,0.1,cross-entropy,binary,60000,0,Sigmoid,Sigmoid,0.1135,7.166666030883789
235,20,100,0.1,cross-entropy,binary,60000,0,Sigmoid,Sigmoid,0.1135,20.543841123580933
236,20,50,0.1,cross-entropy,binary,60000,0,Sigmoid,Sigmoid,0.1135,15.95937204360962
237,10,100,0.1,cross-entropy,binary,60000,0,ReLu,Sigmoid,0.1135,10.003071308135986
238,10,50,0.1,cross-entropy,binary,60000,0,ReLu,Sigmoid,0.1135,7.330250024795532
239,20,100,0.1,cross-entropy,binary,60000,0,ReLu,Sigmoid,0.1135,17.256038188934326
240,20,50,0.1,cross-entropy,binary,60000,0,ReLu,Sigmoid,0.1135,12.989033937454224
241,10,100,0.1,quadratic,one_hot,60000,Xavier,Sigmoid,Sigmoid,0.106,10.315399885177612
242,10,50,0.1,quadratic,one_hot,60000,Xavier,Sigmoid,Sigmoid,0.0955,7.830160140991211
243,20,100,0.1,quadratic,one_hot,60000,Xavier,Sigmoid,Sigmoid,0.1777,22.260226011276245
244,20,50,0.1,quadratic,one_hot,60000,Xavier,Sigmoid,Sigmoid,0.155,13.319133281707764
245,10,100,0.1,quadratic,one_hot,60000,Xavier,ReLu,Sigmoid,0.2608,7.889611005783081
246,10,50,0.1,quadratic,one_hot,60000,Xavier,ReLu,Sigmoid,0.172,5.783689022064209
247,20,100,0.1,quadratic,one_hot,60000,Xavier,ReLu,Sigmoid,0.348,16.240181922912598
248,20,50,0.1,quadratic,one_hot,60000,Xavier,ReLu,Sigmoid,0.2243,12.021023988723757
249,10,100,0.1,quadratic,one_hot,60000,random,Sigmoid,Sigmoid,0.104,9.858137130737305
250,10,50,0.1,quadratic,one_hot,60000,random,Sigmoid,Sigmoid,0.0864,6.879743814468384
251,20,100,0.1,quadratic,one_hot,60000,random,Sigmoid,Sigmoid,0.0997,19.000191926956177
252,20,50,0.1,quadratic,one_hot,60000,random,Sigmoid,Sigmoid,0.1069,14.358276844024658
253,10,100,0.1,quadratic,one_hot,60000,random,ReLu,Sigmoid,0.0874,7.558394193649292
254,10,50,0.1,quadratic,one_hot,60000,random,ReLu,Sigmoid,0.0942,5.968276023864746
255,20,100,0.1,quadratic,one_hot,60000,random,ReLu,Sigmoid,0.1258,15.014219045639038
256,20,50,0.1,quadratic,one_hot,60000,random,ReLu,Sigmoid,0.1097,11.82520866394043
257,10,100,0.1,quadratic,one_hot,60000,0,Sigmoid,Sigmoid,0.1135,9.07484483718872
258,10,50,0.1,quadratic,one_hot,60000,0,Sigmoid,Sigmoid,0.1135,7.677484750747681
259,20,100,0.1,quadratic,one_hot,60000,0,Sigmoid,Sigmoid,0.1135,17.626922130584717
260,20,50,0.1,quadratic,one_hot,60000,0,Sigmoid,Sigmoid,0.1135,12.526014804840088
261,10,100,0.1,quadratic,one_hot,60000,0,ReLu,Sigmoid,0.1135,7.535514831542969
262,10,50,0.1,quadratic,one_hot,60000,0,ReLu,Sigmoid,0.1135,5.848965883255005
263,20,100,0.1,quadratic,one_hot,60000,0,ReLu,Sigmoid,0.1135,15.327309131622314
