Number,Epoch, Hidden Neurons, Learning Rate, Loss Function, Data Encoding, Batch Size, Weights Init,Hidden Activation Function, Last Activation Function, Accuracy, Time
234, 20, 100, 0.1,cross-entropy,binary,60000,0,Sigmoid,Sigmoid,0.1135,20.543841123580933
235, 20, 50, 0.1,cross-entropy,binary,60000,0,Sigmoid,Sigmoid,0.1135,15.95937204360962
236, 10, 100, 0.1,cross-entropy,binary,60000,0,ReLu,Sigmoid,0.1135,10.003071308135986
237, 10, 50, 0.1,cross-entropy,binary,60000,0,ReLu,Sigmoid,0.1135,7.330250024795532
238, 20, 100, 0.1,cross-entropy,binary,60000,0,ReLu,Sigmoid,0.1135,17.256038188934326
239, 20, 50, 0.1,cross-entropy,binary,60000,0,ReLu,Sigmoid,0.1135,12.989033937454224
240, 10, 100, 0.1,quadratic,one_hot,60000,Xavier,Sigmoid,Sigmoid,0.106,10.315399885177612
241, 10, 50, 0.1,quadratic,one_hot,60000,Xavier,Sigmoid,Sigmoid,0.0955,7.830160140991211
242, 20, 100, 0.1,quadratic,one_hot,60000,Xavier,Sigmoid,Sigmoid,0.1777,22.260226011276245
243, 20, 50, 0.1,quadratic,one_hot,60000,Xavier,Sigmoid,Sigmoid,0.155,13.319133281707764
244, 10, 100, 0.1,quadratic,one_hot,60000,Xavier,ReLu,Sigmoid,0.2608,7.889611005783081
245, 10, 50, 0.1,quadratic,one_hot,60000,Xavier,ReLu,Sigmoid,0.172,5.783689022064209
246, 20, 100, 0.1,quadratic,one_hot,60000,Xavier,ReLu,Sigmoid,0.348,16.240181922912598
247, 20, 50, 0.1,quadratic,one_hot,60000,Xavier,ReLu,Sigmoid,0.2243,12.021023988723755
